Timestamp,ActionType,ActionDetail,TurnPhase,IsMyTurn,PlayerID,PlayerHP,PlayerCP,OpponentHP,OpponentCP,PlayerPosTokens,PlayerNegTokens,OppPosTokens,OppNegTokens,BoardDice,RollsLeft,HandSize,OpponentHandSize,CardsInHand
21-06-2026 14:10:37,PhaseReroll,RollsLeft:2,OffensiveRollPhase,1,1,35,1,41,4,0,0,5,1,1|1|1|3|4,2,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:10:39,ActivateOffense,C-C-C-Combo,OffensiveRollPhase,1,1,35,1,41,4,0,0,5,1,6|2|3|1|6,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:10:50,PassPriority,None,OffensiveRollPhase,0,2,41,4,35,1,5,1,0,0,6|2|3|1|6,1,4,5,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:10:55,PassPriority,None,OffensiveRollPhase,1,1,35,1,41,4,0,0,5,1,6|2|3|1|6,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:11:01,PassPriority,None,DefensiveRollPhase,0,2,41,4,35,1,5,0,1,0,0|0|0|0|0,1,4,5,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:11:02,SpendToken,Combo,DefensiveRollPhase,1,1,35,1,41,4,1,0,5,0,0|0|0|0|0,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:11:12,PassPriority,None,DefensiveRollPhase,0,2,41,4,35,1,5,0,0,0,0|0|0|0|0,1,4,5,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:11:13,PassPriority,None,DefensiveRollPhase,1,1,35,1,41,4,0,0,5,0,0|0|0|0|0,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:11:14,PassPriority,None,DefensiveRollPhase,1,1,35,1,41,4,0,0,5,0,0|0|0|0|0,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:11:14,PassPriority,None,DefensiveRollPhase,0,2,41,4,35,1,5,0,0,0,0|0|0|0|0,1,4,5,Yibambe!|Twice as Wild!|Six It!|Samesies!
